t_B	S_xz
0.0879	10.8297
0.088	10.8286
0.0881	10.8275
0.0882	10.8262
0.0883	10.8246
0.0884	10.8229
0.0885	10.8213
0.0886	10.8192
0.0887	10.817
0.0888	10.8148
0.0889	10.8123
0.089	10.8096
0.0891	10.8068
0.0892	10.8038
0.0893	10.8008
0.0894	10.7976
0.0895	10.7945
0.0896	10.7913
0.0897	10.788
0.0898	10.7845
0.0899	10.7809
0.09	10.7773
0.0901	10.7738
0.0902	10.7703
0.0903	10.767
0.0904	10.7639
0.0905	10.7611
0.0906	10.7582
0.0907	10.7558
0.0908	10.7532
0.0909	10.751
0.091	10.7487
0.0911	10.7466
0.0912	10.7449
0.0913	10.7433
0.0914	10.7416
0.0915	10.7398
0.0916	10.738
0.0917	10.7364
0.0918	10.7349
0.0919	10.7333
0.092	10.7313
0.0921	10.7293
0.0922	10.7274
0.0923	10.7256
0.0924	10.7241
0.0925	10.7228
0.0926	10.7217
0.0927	10.7208
0.0928	10.72
0.0929	10.7194
0.093	10.7188
0.0931	10.7182
0.0932	10.7173
0.0933	10.7161
0.0934	10.7145
0.0935	10.7129
0.0936	10.7111
0.0937	10.7093
0.0938	10.7074
0.0939	10.7055
0.094	10.7034
0.0941	10.7012
0.0942	10.699
0.0943	10.6968
0.0944	10.6949
0.0945	10.6928
0.0946	10.6903
0.0947	10.6878
0.0948	10.6853
0.0949	10.6827
0.095	10.6801
0.0951	10.6775
0.0952	10.675
0.0953	10.6727
0.0954	10.6703
0.0955	10.6681
0.0956	10.666
0.0957	10.6638
0.0958	10.6612
0.0959	10.6588
0.096	10.6562
0.0961	10.6532
0.0962	10.6506
0.0963	10.6478
0.0964	10.6449
0.0965	10.6419
0.0966	10.639
0.0967	10.6363
0.0968	10.6339
0.0969	10.6317
0.097	10.6295
0.0971	10.6272
0.0972	10.6253
0.0973	10.6235
0.0974	10.6219
0.0975	10.6205
0.0976	10.6193
0.0977	10.6183
0.0978	10.6176
0.0979	10.6166
0.098	10.6154
0.0981	10.6143
0.0982	10.6133
0.0983	10.6126
0.0984	10.6123
0.0985	10.6119
0.0986	10.6113
0.0987	10.6104
0.0988	10.6094
0.0989	10.6085
0.099	10.6075
0.0991	10.6063
0.0992	10.6052
0.0993	10.6039
0.0994	10.6022
0.0995	10.6004
0.0996	10.5985
0.0997	10.5966
0.0998	10.5948
0.0999	10.5932
